Ticker,Broker,Tipo,Cantidad,Coste_EUR,Precio_Medio_EUR,Precio_Actual_EUR,Valor_Actual_EUR,PnL_EUR,PnL_Pct
BTC,Kraken,Crypto,0.05678,1048.29,18462.96,"=IFERROR(GOOGLEFINANCE(""BTCUSD"",""price"")/GOOGLEFINANCE(""CURRENCY:USDEUR""),0)","=D2*G2","=H2-E2","=IF(E2>0,I2/E2,0)"
ETH,Kraken,Crypto,0.34793,700.75,2014.16,"=IFERROR(GOOGLEFINANCE(""ETHUSD"",""price"")/GOOGLEFINANCE(""CURRENCY:USDEUR""),0)","=D3*G3","=H3-E3","=IF(E3>0,I3/E3,0)"
SOL,Kraken,Crypto,2.13768,298.95,139.84,"=IFERROR(GOOGLEFINANCE(""SOLUSD"",""price"")/GOOGLEFINANCE(""CURRENCY:USDEUR""),0)","=D4*G4","=H4-E4","=IF(E4>0,I4/E4,0)"
NU,Fintual,Stock,91.449629,1009.61,11.04,"=IFERROR(GOOGLEFINANCE(""NU"",""price"")/GOOGLEFINANCE(""CURRENCY:USDEUR""),0)","=D5*G5","=H5-E5","=IF(E5>0,I5/E5,0)"
AMZN,Fintual,Stock,5.998302,1086.47,181.14,"=IFERROR(GOOGLEFINANCE(""AMZN"",""price"")/GOOGLEFINANCE(""CURRENCY:USDEUR""),0)","=D6*G6","=H6-E6","=IF(E6>0,I6/E6,0)"
SPY,Fintual,ETF,0.461054,240.38,521.38,"=IFERROR(GOOGLEFINANCE(""SPY"",""price"")/GOOGLEFINANCE(""CURRENCY:USDEUR""),0)","=D7*G7","=H7-E7","=IF(E7>0,I7/E7,0)"
IEV,Fintual,ETF,20.544768,1255.4,61.11,"=IFERROR(GOOGLEFINANCE(""IEV"",""price"")/GOOGLEFINANCE(""CURRENCY:USDEUR""),0)","=D8*G8","=H8-E8","=IF(E8>0,I8/E8,0)"
ARGT,Fintual,ETF,15.990136,1356.09,84.81,"=IFERROR(GOOGLEFINANCE(""ARGT"",""price"")/GOOGLEFINANCE(""CURRENCY:USDEUR""),0)","=D9*G9","=H9-E9","=IF(E9>0,I9/E9,0)"
AAPL,Fintual,Stock,4.564051,1193.89,261.61,"=IFERROR(GOOGLEFINANCE(""AAPL"",""price"")/GOOGLEFINANCE(""CURRENCY:USDEUR""),0)","=D10*G10","=H10-E10","=IF(E10>0,I10/E10,0)"
TOTAL,,,,"=SUM(E2:E10)",,,"=SUM(H2:H10)","=SUM(I2:I10)","=IF(E11>0,I11/E11,0)"
